Water Depth [inch],Factor
0,0
0.3937,0.0099
0.7874,0.0199
1.1811,0.0298
1.5748,0.0398
1.9685,0.0497
2.3622,0.0597
2.7559,0.0696
3.1496,0.0796
3.5433,0.0895
3.937,0.0995
4.3307,0.1094
4.7244,0.1194
5.1181,0.1293
5.5118,0.1393
5.9055,0.1492
6.2992,0.1592
6.6929,0.1691
7.0866,0.1791
7.4803,0.189
7.874,0.199
8.2677,0.2089
8.6614,0.2189
9.0551,0.2288
9.4488,0.2388
9.8425,0.2487
10.2362,0.2587
10.6299,0.2686
11.0236,0.2786
11.4173,0.2885
11.811,0.2985
12.2047,0.3084
12.5984,0.3184
12.9921,0.3283
13.3858,0.3383
13.7795,0.3482
14.1732,0.3582
14.5669,0.3681
14.9606,0.3781
15.3543,0.388
15.748,0.398
16.1417,0.4079
16.5354,0.4179
16.9291,0.4278
17.3228,0.4378
17.7165,0.4477
18.1102,0.4577
18.5039,0.4676
18.8976,0.4776
19.2913,0.4875
19.685,0.4975
20.0787,0.5019
20.4724,0.5063
20.8661,0.5107
21.2598,0.5151
21.6535,0.5195
22.0472,0.5239
22.4409,0.5283
22.8346,0.5328
23.2283,0.5372
23.622,0.5416
24.0157,0.546
24.4094,0.5504
24.8031,0.5548
25.1969,0.5592
25.5906,0.5636
25.9843,0.5681
26.378,0.5725
26.7717,0.5769
27.1654,0.5813
27.5591,0.5857
27.9528,0.5901
28.3465,0.5945
28.7402,0.5989
29.1339,0.6034
29.5276,0.6078
29.9213,0.6122
30.315,0.6166
30.7087,0.621
31.1024,0.6254
31.4961,0.6298
31.8898,0.6342
32.2835,0.6387
32.6772,0.6431
33.0709,0.6475
33.4646,0.6519
33.8583,0.6563
34.252,0.6607
34.6457,0.6651
35.0394,0.6695
35.4331,0.6739
35.8268,0.6784
36.2205,0.6828
36.6142,0.6872
37.0079,0.6916
37.4016,0.696
37.7953,0.7004
38.189,0.7048
38.5827,0.7092
38.9764,0.7137
39.3701,0.7181
39.7638,0.7206
40.1575,0.7231
40.5512,0.7257
40.9449,0.7282
41.3386,0.7308
41.7323,0.7333
42.126,0.7358
42.5197,0.7384
42.9134,0.7409
43.3071,0.7435
43.7008,0.746
44.0945,0.7485
44.4882,0.7511
44.8819,0.7536
45.2756,0.7561
45.6693,0.7587
46.063,0.7612
46.4567,0.7638
46.8504,0.7663
47.2441,0.7688
47.6378,0.7714
48.0315,0.7739
48.4252,0.7764
48.8189,0.779
49.2126,0.7815
49.6063,0.7841
50,0.7866
50.3937,0.7891
50.7874,0.7917
51.1811,0.7942
51.5748,0.7967
51.9685,0.7993
52.3622,0.8018
52.7559,0.8044
53.1496,0.8069
53.5433,0.8094
53.937,0.812
54.3307,0.8145
54.7244,0.8171
55.1181,0.8196
55.5118,0.8221
55.9055,0.8247
56.2992,0.8272
56.6929,0.8297
57.0866,0.8323
57.4803,0.8348
57.874,0.8374
58.2677,0.8399
58.6614,0.8424
59.0551,0.845
59.4488,0.8471
59.8425,0.8493
60.2362,0.8514
60.6299,0.8536
61.0236,0.8557
61.4173,0.8579
61.811,0.86
62.2047,0.8622
62.5984,0.8643
62.9921,0.8665
63.3858,0.8686
63.7795,0.8708
64.1732,0.8729
64.5669,0.8751
64.9606,0.8772
65.3543,0.8794
65.748,0.8815
66.1417,0.8837
66.5354,0.8858
66.9291,0.888
67.3228,0.8901
67.7165,0.8923
68.1102,0.8944
68.5039,0.8966
68.8976,0.8987
69.2913,0.9009
69.685,0.903
70.0787,0.9052
70.4724,0.9073
70.8661,0.9095
71.2598,0.9116
71.6535,0.9138
72.0472,0.9159
72.4409,0.9181
72.8346,0.9202
73.2283,0.9224
73.622,0.9245
74.0157,0.9267
74.4094,0.9288
74.8031,0.931
75.1969,0.9331
75.5906,0.9353
75.9843,0.9374
76.378,0.9396
76.7717,0.9417
77.1654,0.9439
77.5591,0.946
77.9528,0.9482
78.3465,0.9503
78.7402,0.9525
79.1339,0.9528
79.5276,0.9531
79.9213,0.9533
80.315,0.9536
80.7087,0.9539
81.1024,0.9542
81.4961,0.9545
81.8898,0.9548
82.2835,0.9551
82.6772,0.9554
83.0709,0.9556
83.4646,0.9559
83.8583,0.9562
84.252,0.9565
84.6457,0.9568
85.0394,0.9571
85.4331,0.9574
85.8268,0.9577
86.2205,0.9579
86.6142,0.9582
87.0079,0.9585
87.4016,0.9588
87.7953,0.9591
88.189,0.9594
88.5827,0.9597
88.9764,0.96
89.3701,0.9602
89.7638,0.9605
90.1575,0.9608
90.5512,0.9611
90.9449,0.9614
91.3386,0.9617
91.7323,0.962
92.126,0.9623
92.5197,0.9625
92.9134,0.9628
93.3071,0.9631
93.7008,0.9634
94.0945,0.9637
94.4882,0.964
94.8819,0.9643
95.2756,0.9646
95.6693,0.9649
96.063,0.9651
96.4567,0.9654
96.8504,0.9657
97.2441,0.966
97.6378,0.9663
98.0315,0.9666
98.4252,0.9669
98.8189,0.9672
99.2126,0.9674
99.6063,0.9677
100,0.968
100.3937,0.9683
100.7874,0.9686
101.1811,0.9689
101.5748,0.9692
101.9685,0.9695
102.3622,0.9697
102.7559,0.97
103.1496,0.9703
103.5433,0.9706
103.937,0.9709
104.3307,0.9712
104.7244,0.9715
105.1181,0.9718
105.5118,0.972
105.9055,0.9723
106.2992,0.9726
106.6929,0.9729
107.0866,0.9732
107.4803,0.9735
107.874,0.9738
108.2677,0.9741
108.6614,0.9743
109.0551,0.9746
109.4488,0.9749
109.8425,0.9752
110.2362,0.9755
110.6299,0.9758
111.0236,0.9761
111.4173,0.9764
111.811,0.9766
112.2047,0.9769
112.5984,0.9772
112.9921,0.9775
113.3858,0.9778
113.7795,0.9781
114.1732,0.9784
114.5669,0.9787
114.9606,0.9789
115.3543,0.9792
115.748,0.9795
116.1417,0.9798
116.5354,0.9801
116.9291,0.9804
117.3228,0.9807
117.7165,0.981
118.1102,0.9812
118.5039,0.9814
118.8976,0.9816
119.2913,0.9818
119.685,0.982
120.0787,0.9822
120.4724,0.9824
120.8661,0.9826
121.2598,0.9827
121.6535,0.9829
122.0472,0.9831
122.4409,0.9833
122.8346,0.9835
123.2283,0.9837
123.622,0.9839
124.0157,0.9841
124.4094,0.9842
124.8031,0.9844
125.1969,0.9846
125.5906,0.9848
125.9843,0.985
126.378,0.9852
126.7717,0.9854
127.1654,0.9856
127.5591,0.9857
127.9528,0.9859
128.3465,0.9861
128.7402,0.9863
129.1339,0.9865
129.5276,0.9867
129.9213,0.9869
130.315,0.9871
130.7087,0.9872
131.1024,0.9874
131.4961,0.9876
131.8898,0.9878
132.2835,0.988
132.6772,0.9882
133.0709,0.9884
133.4646,0.9886
133.8583,0.9887
134.252,0.9889
134.6457,0.9891
135.0394,0.9893
135.4331,0.9895
135.8268,0.9897
136.2205,0.9899
136.6142,0.9901
137.0079,0.9902
137.4016,0.9904
137.7953,0.9906
138.189,0.9908
138.5827,0.991
138.9764,0.9912
139.3701,0.9914
139.7638,0.9916
140.1575,0.9917
140.5512,0.9919
140.9449,0.9921
141.3386,0.9923
141.7323,0.9925
142.126,0.9927
142.5197,0.9929
142.9134,0.9931
143.3071,0.9932
143.7008,0.9934
144.0945,0.9936
144.4882,0.9938
144.8819,0.994
145.2756,0.9942
145.6693,0.9944
146.063,0.9946
146.4567,0.9947
146.8504,0.9949
147.2441,0.9951
147.6378,0.9953
148.0315,0.9955
148.4252,0.9957
148.8189,0.9959
149.2126,0.9961
149.6063,0.9962
150,0.9964
150.3937,0.9966
150.7874,0.9968
151.1811,0.997
151.5748,0.9972
151.9685,0.9974
152.3622,0.9976
152.7559,0.9977
153.1496,0.9979
153.5433,0.9981
153.937,0.9983
154.3307,0.9985
154.7244,0.9987
155.1181,0.9989
155.5118,0.9991
155.9055,0.9992
156.2992,0.9994
156.6929,0.9996
157.0866,0.9998
157.4803,1
157.874,1
158.2677,1
158.6614,1
159.0551,1
159.4488,1
159.8425,1
160.2362,1
160.6299,1
161.0236,1
161.4173,1
161.811,1
162.2047,1
162.5984,1
162.9921,1
163.3858,1
163.7795,1
164.1732,1
164.5669,1
164.9606,1
165.3543,1
165.748,1
166.1417,1
166.5354,1
166.9291,1
167.3228,1
167.7165,1
168.1102,1
168.5039,1
168.8976,1
169.2913,1
169.685,1
170.0787,1
170.4724,1
170.8661,1
171.2598,1
171.6535,1
172.0472,1
172.4409,1
172.8346,1
173.2283,1
173.622,1
174.0157,1
174.4094,1
174.8031,1
175.1969,1
175.5906,1
175.9843,1
176.378,1
176.7717,1
177.1654,1
177.5591,1
177.9528,1
178.3465,1
178.7402,1
179.1339,1
179.5276,1
179.9213,1
180.315,1
180.7087,1
181.1024,1
181.4961,1
181.8898,1
182.2835,1
182.6772,1
183.0709,1
183.4646,1
183.8583,1
184.252,1
184.6457,1
185.0394,1
185.4331,1
185.8268,1
186.2205,1
186.6142,1
187.0079,1
187.4016,1
187.7953,1
188.189,1
188.5827,1
188.9764,1
189.3701,1
189.7638,1
190.1575,1
190.5512,1
190.9449,1
191.3386,1
191.7323,1
192.126,1
192.5197,1
192.9134,1
193.3071,1
193.7008,1
194.0945,1
194.4882,1
194.8819,1
195.2756,1
195.6693,1
196.063,1
196.4567,1
196.8504,1
197.2441,1
197.6378,1
198.0315,1
198.4252,1
198.8189,1
199.2126,1
199.6063,1
200,1
200.3937,1
200.7874,1
201.1811,1
201.5748,1
201.9685,1
202.3622,1
202.7559,1
203.1496,1
203.5433,1
203.937,1
204.3307,1
204.7244,1
205.1181,1
205.5118,1
205.9055,1
206.2992,1
206.6929,1
207.0866,1
207.4803,1
207.874,1
208.2677,1
208.6614,1
209.0551,1
209.4488,1
209.8425,1
210.2362,1
210.6299,1
211.0236,1
211.4173,1
211.811,1
212.2047,1
212.5984,1
212.9921,1
213.3858,1
213.7795,1
214.1732,1
214.5669,1
214.9606,1
215.3543,1
215.748,1
216.1417,1
216.5354,1
216.9291,1
217.3228,1
217.7165,1
218.1102,1
218.5039,1
218.8976,1
219.2913,1
219.685,1
220.0787,1
220.4724,1
220.8661,1
221.2598,1
221.6535,1
222.0472,1
222.4409,1
222.8346,1
223.2283,1
223.622,1
224.0157,1
224.4094,1
224.8031,1
225.1969,1
225.5906,1
225.9843,1
226.378,1
226.7717,1
227.1654,1
227.5591,1
227.9528,1
228.3465,1
228.7402,1
229.1339,1
229.5276,1
229.9213,1
230.315,1
230.7087,1
231.1024,1
231.4961,1
231.8898,1
232.2835,1
232.6772,1
233.0709,1
233.4646,1
233.8583,1
234.252,1
234.6457,1
235.0394,1
235.4331,1
235.8268,1
236.2205,1
236.6142,1
237.0079,1
237.4016,1
237.7953,1
238.189,1
238.5827,1
238.9764,1
239.3701,1
239.7638,1
240.1575,1
240.5512,1
240.9449,1
241.3386,1
241.7323,1
242.126,1
242.5197,1
242.9134,1
243.3071,1
243.7008,1
244.0945,1
244.4882,1
244.8819,1
245.2756,1
245.6693,1
246.063,1
246.4567,1
246.8504,1
247.2441,1
247.6378,1
248.0315,1
248.4252,1
248.8189,1
249.2126,1
249.6063,1
250,1
250.3937,1
250.7874,1
251.1811,1
251.5748,1
251.9685,1
252.3622,1
252.7559,1
253.1496,1
253.5433,1
253.937,1
254.3307,1
254.7244,1
255.1181,1
255.5118,1
255.9055,1
256.2992,1
256.6929,1
257.0866,1
257.4803,1
257.874,1
258.2677,1
258.6614,1
259.0551,1
259.4488,1
259.8425,1
260.2362,1
260.6299,1
261.0236,1
261.4173,1
261.811,1
262.2047,1
262.5984,1
262.9921,1
263.3858,1
263.7795,1
264.1732,1
264.5669,1
264.9606,1
265.3543,1
265.748,1
266.1417,1
266.5354,1
266.9291,1
267.3228,1
267.7165,1
268.1102,1
268.5039,1
268.8976,1
269.2913,1
269.685,1
270.0787,1
270.4724,1
270.8661,1
271.2598,1
271.6535,1
272.0472,1
272.4409,1
272.8346,1
273.2283,1
273.622,1
274.0157,1
274.4094,1
274.8031,1
275.1969,1
275.5906,1
275.9843,1
276.378,1
276.7717,1
277.1654,1
277.5591,1
277.9528,1
278.3465,1
278.7402,1
279.1339,1
279.5276,1
279.9213,1
280.315,1
280.7087,1
281.1024,1
281.4961,1
281.8898,1
282.2835,1
282.6772,1
283.0709,1
283.4646,1
283.8583,1
284.252,1
284.6457,1
285.0394,1
285.4331,1
285.8268,1
286.2205,1
286.6142,1
287.0079,1
287.4016,1
287.7953,1
288.189,1
288.5827,1
288.9764,1
289.3701,1
289.7638,1
290.1575,1
290.5512,1
290.9449,1
291.3386,1
291.7323,1
292.126,1
292.5197,1
292.9134,1
293.3071,1
293.7008,1
294.0945,1
294.4882,1
294.8819,1
295.2756,1
295.6693,1
296.063,1
296.4567,1
296.8504,1
297.2441,1
297.6378,1
298.0315,1
298.4252,1
298.8189,1
299.2126,1
299.6063,1
300,1
300.3937,1
300.7874,1
301.1811,1
301.5748,1
301.9685,1
302.3622,1
302.7559,1
303.1496,1
303.5433,1
303.937,1
304.3307,1
304.7244,1
305.1181,1
305.5118,1
305.9055,1
306.2992,1
306.6929,1
307.0866,1
307.4803,1
307.874,1
308.2677,1
308.6614,1
309.0551,1
309.4488,1
309.8425,1
310.2362,1
310.6299,1
311.0236,1
311.4173,1
311.811,1
312.2047,1
312.5984,1
312.9921,1
313.3858,1
313.7795,1
314.1732,1
314.5669,1
314.9606,1
315.3543,1
315.748,1
316.1417,1
316.5354,1
316.9291,1
317.3228,1
317.7165,1
318.1102,1
318.5039,1
318.8976,1
319.2913,1
319.685,1
320.0787,1
320.4724,1
320.8661,1
321.2598,1
321.6535,1
322.0472,1
322.4409,1
322.8346,1
323.2283,1
323.622,1
324.0157,1
324.4094,1
324.8031,1
325.1969,1
325.5906,1
325.9843,1
326.378,1
326.7717,1
327.1654,1
327.5591,1
327.9528,1
328.3465,1
328.7402,1
329.1339,1
329.5276,1
329.9213,1
330.315,1
330.7087,1
331.1024,1
331.4961,1
331.8898,1
332.2835,1
332.6772,1
333.0709,1
333.4646,1
333.8583,1
334.252,1
334.6457,1
335.0394,1
335.4331,1
335.8268,1
336.2205,1
336.6142,1
337.0079,1
337.4016,1
337.7953,1
338.189,1
338.5827,1
338.9764,1
339.3701,1
339.7638,1
340.1575,1
340.5512,1
340.9449,1
341.3386,1
341.7323,1
342.126,1
342.5197,1
342.9134,1
343.3071,1
343.7008,1
344.0945,1
344.4882,1
344.8819,1
345.2756,1
345.6693,1
346.063,1
346.4567,1
346.8504,1
347.2441,1
347.6378,1
348.0315,1
348.4252,1
348.8189,1
349.2126,1
349.6063,1
350,1
350.3937,1
350.7874,1
351.1811,1
351.5748,1
351.9685,1
352.3622,1
352.7559,1
353.1496,1
353.5433,1
353.937,1
354.3307,1
354.7244,1
355.1181,1
355.5118,1
355.9055,1
356.2992,1
356.6929,1
357.0866,1
357.4803,1
357.874,1
358.2677,1
358.6614,1
359.0551,1
359.4488,1
359.8425,1
360.2362,1
360.6299,1
361.0236,1
361.4173,1
361.811,1
362.2047,1
362.5984,1
